Scenario,Train_Set,Test_Set,Model,Fold,Accuracy,Precision,Recall,F1-Score
S1_Baseline,CORES,CORES,M1_LogisticRegression,6,0.9567137546468402,0.9251865191664522,0.9999165855693035,0.9611010890626044
S1_Baseline,CORES,CORES,M2_XGBoost,6,0.9567335811648079,0.9251745013634259,0.9999721951897679,0.9611202914753266
S1_Baseline,CORES,CORES,M3_IsolationForest,6,0.47894919454770757,0.569004130791818,0.1059641317948005,0.17865737412882457
S1_Baseline,CORES,CORES,M1_LogisticRegression,7,0.9573878562577447,0.9263034070614096,0.9998702442189166,0.9616819472363489
S1_Baseline,CORES,CORES,M2_XGBoost,7,0.9573977695167286,0.9262973520623691,0.9998980490291487,0.9616915445060015
S1_Baseline,CORES,CORES,M3_IsolationForest,7,0.4905923172242875,0.6265816528272045,0.11749385977107372,0.19788178916231552
S1_Baseline,CORES,CORES,M1_LogisticRegression,8,0.9566294919454771,0.9250808187345115,0.999879512488994,0.9610269292783523
S1_Baseline,CORES,CORES,M2_XGBoost,8,0.956634448574969,0.9250741712541373,0.9998980490291487,0.961031904042901
S1_Baseline,CORES,CORES,M3_IsolationForest,8,0.472272614622057,0.5350954912384328,0.10075536401130729,0.16957983324363743
S1_Baseline,CORES,CORES,M1_LogisticRegression,9,0.956748236670318,0.9252341257589791,0.9999258531521679,0.9611310568468316
S1_Baseline,CORES,CORES,M2_XGBoost,9,0.9567432800162579,0.9252043117716168,0.999953658220105,0.961127814525289
S1_Baseline,CORES,CORES,M3_IsolationForest,9,0.48239644310504637,0.5870919136112507,0.1083378130387232,0.1829207223561078
S1_Baseline,CORES,CORES,M1_LogisticRegression,10,0.9568969362921254,0.9255233356211393,0.9998609746603148,0.9612570949949656
S1_Baseline,CORES,CORES,M2_XGBoost,10,0.956911806254306,0.9255179513576116,0.9998980480842308,0.9612713234933774
S1_Baseline,CORES,CORES,M3_IsolationForest,10,0.48584131767691535,0.6036758479852568,0.11233247446567927,0.18941791499636637
S1_Baseline,NETFLOW,NETFLOW,M1_LogisticRegression,1,0.5548778726640801,0.5549504714555548,0.9671645966941643,0.7052403069145019
S1_Baseline,NETFLOW,NETFLOW,M2_XGBoost,1,0.7187701579905071,0.751971322936697,0.7299855298648725,0.7408153396361185
S1_Baseline,NETFLOW,NETFLOW,M3_IsolationForest,1,0.47087140285172385,0.6066291731482589,0.11081238223889275,0.1873937279138882
S1_Baseline,NETFLOW,NETFLOW,M1_LogisticRegression,2,0.5557130753752395,0.5554127850947639,0.9674968414886316,0.7057019089269799
S1_Baseline,NETFLOW,NETFLOW,M2_XGBoost,2,0.7201733948222245,0.7546752035354953,0.7286084626246464,0.741412788900183
S1_Baseline,NETFLOW,NETFLOW,M3_IsolationForest,2,0.4667748177958351,0.5891254357985313,0.10415874306548283,0.17701994873509416
S1_Baseline,NETFLOW,NETFLOW,M1_LogisticRegression,3,0.5555710668450999,0.5553097456117908,0.9678423417909665,0.7057105971980938
S1_Baseline,NETFLOW,NETFLOW,M2_XGBoost,3,0.7174896742950119,0.7505827296044638,0.7291954465175652,0.7397345325049115
S1_Baseline,NETFLOW,NETFLOW,M3_IsolationForest,3,0.4706547796701551,0.6073706246044497,0.10908073513211045,0.18494607715969313
S1_Baseline,NETFLOW,NETFLOW,M1_LogisticRegression,4,0.5548104787853697,0.5549335568179538,0.9668324968961477,0.7051383424413822
S1_Baseline,NETFLOW,NETFLOW,M2_XGBoost,4,0.7178892237187943,0.7512796020617813,0.7289331491422876,0.7399376958099988
S1_Baseline,NETFLOW,NETFLOW,M3_IsolationForest,4,0.46847651323326944,0.5953740513191181,0.10802717400807876,0.1828730855901692
S1_Baseline,NETFLOW,NETFLOW,M1_LogisticRegression,5,0.5555459278354238,0.5553349514684953,0.967208313114489,0.7055623234069152
