Scenario,Train_Set,Test_Set,Model,Fold_Info,Accuracy,Precision,Recall,F1-Score
S2_Transfer,CORES,KDD,M1_LogisticRegression,Rep_2_Fold_1,0.08450658941770703,0.2703024784756906,0.0806074206583718,0.1241822225092966
S2_Transfer,CORES,KDD,M2_XGBoost,Rep_2_Fold_1,0.08389249877021114,0.2682386134623136,0.07972096663418997,0.12291221611372073
S2_Transfer,CORES,KDD,M3_IsolationForest,Rep_2_Fold_1,0.8051853685669182,0.8051853685669182,1.0,0.8920805393034295
S2_Transfer,CORES,KDD,M1_LogisticRegression,Rep_2_Fold_2,0.08450658941770703,0.2703024784756906,0.0806074206583718,0.1241822225092966
S2_Transfer,CORES,KDD,M2_XGBoost,Rep_2_Fold_2,0.08389249877021114,0.2682386134623136,0.07972096663418997,0.12291221611372073
S2_Transfer,CORES,KDD,M3_IsolationForest,Rep_2_Fold_2,0.8051017750756361,0.8051690819702704,0.9998961810602309,0.8920292320269878
S2_Transfer,CORES,KDD,M1_LogisticRegression,Rep_2_Fold_3,0.08450658941770703,0.2703024784756906,0.0806074206583718,0.1241822225092966
S2_Transfer,CORES,KDD,M2_XGBoost,Rep_2_Fold_3,0.08389249877021114,0.2682386134623136,0.07972096663418997,0.12291221611372073
S2_Transfer,CORES,KDD,M3_IsolationForest,Rep_2_Fold_3,0.8050889145385157,0.8051665760983154,0.9998802089156511,0.8920213381780616
S2_Transfer,CORES,KDD,M1_LogisticRegression,Rep_2_Fold_4,0.08450658941770703,0.2703024784756906,0.0806074206583718,0.1241822225092966
S2_Transfer,CORES,KDD,M2_XGBoost,Rep_2_Fold_4,0.08389249877021114,0.2682386134623136,0.07972096663418997,0.12291221611372073
S2_Transfer,CORES,KDD,M3_IsolationForest,Rep_2_Fold_4,0.8050889145385157,0.8051665760983154,0.9998802089156511,0.8920213381780616
S2_Transfer,CORES,KDD,M1_LogisticRegression,Rep_2_Fold_5,0.08450658941770703,0.2703024784756906,0.0806074206583718,0.1241822225092966
S2_Transfer,CORES,KDD,M2_XGBoost,Rep_2_Fold_5,0.08388928363593105,0.26824123708570125,0.07972495967033494,0.12291723740954046
S2_Transfer,CORES,KDD,M3_IsolationForest,Rep_2_Fold_5,0.8050889145385157,0.8051665760983154,0.9998802089156511,0.8920213381780616
S2_Transfer,CORES,NETFLOW,M1_LogisticRegression,Rep_1_Fold_1,0.5404409198498656,0.5572414903852267,0.8046648836227209,0.6584779505672
S2_Transfer,CORES,NETFLOW,M2_XGBoost,Rep_1_Fold_1,0.5404409198498656,0.5572414903852267,0.8046648836227209,0.6584779505672
