Scenario,Train_Set,Test_Set,Model,Fold_Info,Accuracy,Precision,Recall,F1-Score
S1_Baseline,NETFLOW,NETFLOW,M1_LogisticRegression,Rep_1_Fold_1,0.5566614035256626,0.5565712249675686,0.9674115943545996,0.7066135514011248
S1_Baseline,NETFLOW,NETFLOW,M2_XGBoost,Rep_1_Fold_1,0.7191095343082982,0.7545341502566073,0.7277830114617679,0.7409171941150744
S1_Baseline,NETFLOW,NETFLOW,M3_IsolationForest,Rep_1_Fold_1,0.4696294299440631,0.6061311787072243,0.11124195321086512,0.18798366769357763
S1_Baseline,NETFLOW,NETFLOW,M1_LogisticRegression,Rep_1_Fold_2,0.5549187903761541,0.55467767640895,0.9672411680263296,0.7050403319067892
S1_Baseline,NETFLOW,NETFLOW,M2_XGBoost,Rep_1_Fold_2,0.7188544003388949,0.7516187901318013,0.7300295857988166,0.7406668990459867
S1_Baseline,NETFLOW,NETFLOW,M3_IsolationForest,Rep_1_Fold_2,0.4717162332598419,0.6083315284095011,0.11063163054514898,0.18721601534581786
S1_Baseline,NETFLOW,NETFLOW,M1_LogisticRegression,Rep_1_Fold_3,0.554261700058729,0.5542918804973839,0.9668124258619708,0.7046147662311147
S1_Baseline,NETFLOW,NETFLOW,M2_XGBoost,Rep_1_Fold_3,0.7179132929611908,0.7520627455244879,0.7265242341076517,0.7390729361474753
S1_Baseline,NETFLOW,NETFLOW,M3_IsolationForest,Rep_1_Fold_3,0.47020227791310043,0.6009581649689081,0.10871534936246767,0.18412234791762422
S1_Baseline,NETFLOW,NETFLOW,M1_LogisticRegression,Rep_1_Fold_4,0.5552389113000279,0.5550263488080301,0.9673635409377187,0.7053544663073635
S1_Baseline,NETFLOW,NETFLOW,M2_XGBoost,Rep_1_Fold_4,0.7172489818710466,0.7511771883049392,0.7270293911826452,0.7389060520525415
S1_Baseline,NETFLOW,NETFLOW,M3_IsolationForest,Rep_1_Fold_4,0.4706403381247172,0.6056283357593402,0.10918474457662701,0.18501445193804195
S1_Baseline,NETFLOW,NETFLOW,M1_LogisticRegression,Rep_1_Fold_5,0.555435209053908,0.5553716687228558,0.9677278407452395,0.70573015412754
S1_Baseline,NETFLOW,NETFLOW,M2_XGBoost,Rep_1_Fold_5,0.7173469854404803,0.7518043648229079,0.7268488984820812,0.7391160429648883
S1_Baseline,NETFLOW,NETFLOW,M3_IsolationForest,Rep_1_Fold_5,0.4703550462491606,0.6054898769922941,0.1105494044550086,0.18696333298848705
S1_Baseline,NETFLOW,NETFLOW,M1_LogisticRegression,Rep_2_Fold_1,0.5553544436635313,0.5551778846636609,0.9670217231608773,0.7053859059332359
S1_Baseline,NETFLOW,NETFLOW,M2_XGBoost,Rep_2_Fold_1,0.7195909191562286,0.7533384816174644,0.72941371952286,0.7411830830717416
S1_Baseline,NETFLOW,NETFLOW,M3_IsolationForest,Rep_2_Fold_1,0.4712204068664735,0.6085436705961765,0.11037796900689124,0.18686268631304664
S1_Baseline,NETFLOW,NETFLOW,M1_LogisticRegression,Rep_2_Fold_2,0.5558526769811394,0.5557587571089185,0.967482160169795,0.7059772052625792
S1_Baseline,NETFLOW,NETFLOW,M2_XGBoost,Rep_2_Fold_2,0.7192082182021239,0.7525406504065041,0.7308565738791696,0.7415401248654085
S1_Baseline,NETFLOW,NETFLOW,M3_IsolationForest,Rep_2_Fold_2,0.4683682016424851,0.5978182169232997,0.10817444165916971,0.18319921898112537
S1_Baseline,NETFLOW,NETFLOW,M1_LogisticRegression,Rep_2_Fold_3,0.5548586172701628,0.5547054764443887,0.9672668402284014,0.7050696094534901
S1_Baseline,NETFLOW,NETFLOW,M2_XGBoost,Rep_2_Fold_3,0.7167242723868024,0.7491761786377389,0.7291605591896563,0.7390328703457328
