Scenario,Test_Stream,Model,Batch_Idx,F1-Score
S4_Stream,KDD,M2_XGBoost,67,0.0
S4_Stream,KDD,M3_IsolationForest,67,1.0
S4_Stream,KDD,M1_LogisticRegression,68,1.0
S4_Stream,KDD,M2_XGBoost,68,0.0
S4_Stream,KDD,M3_IsolationForest,68,1.0
S4_Stream,KDD,M1_LogisticRegression,69,1.0
S4_Stream,KDD,M2_XGBoost,69,0.0
S4_Stream,KDD,M3_IsolationForest,69,1.0
S4_Stream,KDD,M1_LogisticRegression,70,1.0
S4_Stream,KDD,M2_XGBoost,70,0.0
S4_Stream,KDD,M3_IsolationForest,70,1.0
S4_Stream,KDD,M1_LogisticRegression,71,1.0
S4_Stream,KDD,M2_XGBoost,71,0.0
S4_Stream,KDD,M3_IsolationForest,71,1.0
S4_Stream,KDD,M1_LogisticRegression,72,1.0
S4_Stream,KDD,M2_XGBoost,72,0.0
S4_Stream,KDD,M3_IsolationForest,72,1.0
S4_Stream,KDD,M1_LogisticRegression,73,1.0
S4_Stream,KDD,M2_XGBoost,73,0.0
S4_Stream,KDD,M3_IsolationForest,73,1.0
S4_Stream,KDD,M1_LogisticRegression,74,0.9934376577486118
S4_Stream,KDD,M2_XGBoost,74,0.043052837573385516
S4_Stream,KDD,M3_IsolationForest,74,0.9903307888040712
S4_Stream,KDD,M1_LogisticRegression,75,0.5393093313739897
S4_Stream,KDD,M2_XGBoost,75,0.5634674922600619
S4_Stream,KDD,M3_IsolationForest,75,0.028169014084507043
S4_Stream,KDD,M1_LogisticRegression,76,0.14353163361661944
S4_Stream,KDD,M2_XGBoost,76,0.4906832298136646
S4_Stream,KDD,M3_IsolationForest,76,0.12741751990898748
S4_Stream,KDD,M1_LogisticRegression,77,0.13096351730589337
S4_Stream,KDD,M2_XGBoost,77,0.6633663366336634
S4_Stream,KDD,M3_IsolationForest,77,0.14537902388369678
S4_Stream,KDD,M1_LogisticRegression,78,0.1640552995391705
S4_Stream,KDD,M2_XGBoost,78,0.7083333333333334
S4_Stream,KDD,M3_IsolationForest,78,0.09503695881731784
S4_Stream,KDD,M1_LogisticRegression,79,0.14338919925512103
S4_Stream,KDD,M2_XGBoost,79,0.9568162574089755
S4_Stream,KDD,M3_IsolationForest,79,0.707774798927614
S4_Stream,KDD,M1_LogisticRegression,80,0.041109969167523124
S4_Stream,KDD,M2_XGBoost,80,0.9621353196772191
S4_Stream,KDD,M3_IsolationForest,80,0.8745724059293044
S4_Stream,KDD,M1_LogisticRegression,81,0.10826210826210826
S4_Stream,KDD,M2_XGBoost,81,0.778816199376947
S4_Stream,KDD,M3_IsolationForest,81,0.26217228464419473
S4_Stream,KDD,M1_LogisticRegression,82,0.4239558707643814
S4_Stream,KDD,M2_XGBoost,82,0.9451659451659452
S4_Stream,KDD,M3_IsolationForest,82,0.8412322274881516
S4_Stream,KDD,M1_LogisticRegression,83,0.9944695827048768
S4_Stream,KDD,M2_XGBoost,83,0.0392156862745098
S4_Stream,KDD,M3_IsolationForest,83,1.0
S4_Stream,KDD,M1_LogisticRegression,84,1.0
S4_Stream,KDD,M2_XGBoost,84,0.0
S4_Stream,KDD,M3_IsolationForest,84,1.0
S4_Stream,KDD,M1_LogisticRegression,85,1.0
S4_Stream,KDD,M2_XGBoost,85,0.0
S4_Stream,KDD,M3_IsolationForest,85,1.0
S4_Stream,KDD,M1_LogisticRegression,86,1.0
S4_Stream,KDD,M2_XGBoost,86,0.0
S4_Stream,KDD,M3_IsolationForest,86,1.0
S4_Stream,KDD,M1_LogisticRegression,87,1.0
S4_Stream,KDD,M2_XGBoost,87,0.0
S4_Stream,KDD,M3_IsolationForest,87,1.0
S4_Stream,KDD,M1_LogisticRegression,88,1.0
S4_Stream,KDD,M2_XGBoost,88,0.0
S4_Stream,KDD,M3_IsolationForest,88,1.0
S4_Stream,KDD,M1_LogisticRegression,89,0.7890909090909091
S4_Stream,KDD,M2_XGBoost,89,0.7397260273972602
S4_Stream,KDD,M3_IsolationForest,89,0.9395248380129589
S4_Stream,KDD,M1_LogisticRegression,90,0.329156223893066
S4_Stream,KDD,M2_XGBoost,90,0.6896551724137931
S4_Stream,KDD,M3_IsolationForest,90,0.1611804767309875
S4_Stream,KDD,M1_LogisticRegression,91,0.23185840707964603
S4_Stream,KDD,M2_XGBoost,91,0.8115015974440895
S4_Stream,KDD,M3_IsolationForest,91,0.12415349887133183
S4_Stream,KDD,M1_LogisticRegression,92,0.27399650959860383
S4_Stream,KDD,M2_XGBoost,92,0.9057591623036649
S4_Stream,KDD,M3_IsolationForest,92,0.11063829787234042
S4_Stream,KDD,M1_LogisticRegression,93,0.2904062229904927
S4_Stream,KDD,M2_XGBoost,93,0.9184782608695652
S4_Stream,KDD,M3_IsolationForest,93,0.09698275862068965
S4_Stream,KDD,M1_LogisticRegression,94,0.31959629941127
S4_Stream,KDD,M2_XGBoost,94,0.712166172106825
S4_Stream,KDD,M3_IsolationForest,94,0.18943170488534397
S4_Stream,KDD,M1_LogisticRegression,95,0.3870967741935484
S4_Stream,KDD,M2_XGBoost,95,0.6956521739130435
S4_Stream,KDD,M3_IsolationForest,95,0.17556346381969157
S4_Stream,KDD,M1_LogisticRegression,96,0.6754966887417219
S4_Stream,KDD,M2_XGBoost,96,0.603739982190561
S4_Stream,KDD,M3_IsolationForest,96,0.5363357215967247
S4_Stream,KDD,M1_LogisticRegression,97,0.6072423398328691
S4_Stream,KDD,M2_XGBoost,97,0.7145187601957586
S4_Stream,KDD,M3_IsolationForest,97,0.3001579778830964
S4_Stream,KDD,M1_LogisticRegression,98,0.4863636363636364
S4_Stream,KDD,M2_XGBoost,98,0.6043437204910292
S4_Stream,KDD,M3_IsolationForest,98,0.23510466988727857
S4_Stream,KDD,M1_LogisticRegression,99,0.2521891418563923
S4_Stream,KDD,M2_XGBoost,99,0.9278996865203761
S4_Stream,KDD,M3_IsolationForest,99,0.09192825112107623
S4_Stream,KDD,M1_LogisticRegression,100,0.27335640138408307
S4_Stream,KDD,M2_XGBoost,100,0.918918918918919
S4_Stream,KDD,M3_IsolationForest,100,0.1337719298245614
S4_Stream,KDD,M1_LogisticRegression,101,0.2632955536181343
S4_Stream,KDD,M2_XGBoost,101,0.9230769230769231
S4_Stream,KDD,M3_IsolationForest,101,0.17716115261472787
S4_Stream,KDD,M1_LogisticRegression,102,0.019801980198019802
S4_Stream,KDD,M2_XGBoost,102,0.9967707212055974
S4_Stream,KDD,M3_IsolationForest,102,0.9634655532359081
S4_Stream,KDD,M1_LogisticRegression,103,0.001998001998001998
S4_Stream,KDD,M2_XGBoost,103,0.9994916115912558
S4_Stream,KDD,M3_IsolationForest,103,0.9934310257705912
S4_Stream,KDD,M1_LogisticRegression,104,0.0
S4_Stream,KDD,M2_XGBoost,104,1.0
S4_Stream,KDD,M3_IsolationForest,104,0.9959718026183283
S4_Stream,KDD,M1_LogisticRegression,105,0.005982053838484547
S4_Stream,KDD,M2_XGBoost,105,0.998972250770812
S4_Stream,KDD,M3_IsolationForest,105,0.9883070665988816
S4_Stream,KDD,M1_LogisticRegression,106,0.001998001998001998
S4_Stream,KDD,M2_XGBoost,106,0.9964084145715751
S4_Stream,KDD,M3_IsolationForest,106,0.9867751780264497
S4_Stream,KDD,M1_LogisticRegression,107,0.001998001998001998
S4_Stream,KDD,M2_XGBoost,107,0.9927909371781668
S4_Stream,KDD,M3_IsolationForest,107,0.9826883910386965
S4_Stream,KDD,M1_LogisticRegression,108,0.005982053838484547
S4_Stream,KDD,M2_XGBoost,108,0.9974476773864216
S4_Stream,KDD,M3_IsolationForest,108,0.9868287740628167
S4_Stream,KDD,M1_LogisticRegression,109,0.005982053838484547
S4_Stream,KDD,M2_XGBoost,109,0.9989743589743589
S4_Stream,KDD,M3_IsolationForest,109,0.9867886178861789
S4_Stream,KDD,M1_LogisticRegression,110,0.0
S4_Stream,KDD,M2_XGBoost,110,1.0
S4_Stream,KDD,M3_IsolationForest,110,0.9969909729187563
S4_Stream,KDD,M1_LogisticRegression,111,0.002
S4_Stream,KDD,M2_XGBoost,111,1.0
S4_Stream,KDD,M3_IsolationForest,111,0.9954705586311021
S4_Stream,KDD,M1_LogisticRegression,112,0.002034587995930824
S4_Stream,KDD,M2_XGBoost,112,1.0
S4_Stream,KDD,M3_IsolationForest,112,0.9862595419847329
S4_Stream,KDD,M1_LogisticRegression,113,0.009950248756218905
S4_Stream,KDD,M2_XGBoost,113,0.9984591679506933
S4_Stream,KDD,M3_IsolationForest,113,0.9893238434163701
S4_Stream,KDD,M1_LogisticRegression,114,0.001998001998001998
S4_Stream,KDD,M2_XGBoost,114,0.9994926433282597
S4_Stream,KDD,M3_IsolationForest,114,0.992936427850656
S4_Stream,KDD,M1_LogisticRegression,115,0.003992015968063872
S4_Stream,KDD,M2_XGBoost,115,0.9989754098360656
S4_Stream,KDD,M3_IsolationForest,115,0.991869918699187
S4_Stream,KDD,M1_LogisticRegression,116,0.00796812749003984
S4_Stream,KDD,M2_XGBoost,116,1.0
S4_Stream,KDD,M3_IsolationForest,116,0.9888324873096447
S4_Stream,KDD,M1_LogisticRegression,117,0.0
S4_Stream,KDD,M2_XGBoost,117,1.0
S4_Stream,KDD,M3_IsolationForest,117,0.995475113122172
S4_Stream,KDD,M1_LogisticRegression,118,0.0
S4_Stream,KDD,M2_XGBoost,118,1.0
S4_Stream,KDD,M3_IsolationForest,118,0.9979939819458375
S4_Stream,KDD,M1_LogisticRegression,119,0.0
S4_Stream,KDD,M2_XGBoost,119,0.9989764585465711
S4_Stream,KDD,M3_IsolationForest,119,0.9903602232369355
S4_Stream,KDD,M1_LogisticRegression,120,0.0
S4_Stream,KDD,M2_XGBoost,120,1.0
S4_Stream,KDD,M3_IsolationForest,120,0.9867886178861789
S4_Stream,KDD,M1_LogisticRegression,121,0.00796812749003984
S4_Stream,KDD,M2_XGBoost,121,1.0
S4_Stream,KDD,M3_IsolationForest,121,0.9974886991461577
S4_Stream,KDD,M1_LogisticRegression,122,0.0
S4_Stream,KDD,M2_XGBoost,122,0.9984639016897081
S4_Stream,KDD,M3_IsolationForest,122,0.9888438133874239
S4_Stream,KDD,M1_LogisticRegression,123,0.2119815668202765
S4_Stream,KDD,M2_XGBoost,123,0.8950617283950617
S4_Stream,KDD,M3_IsolationForest,123,0.11205073995771671
S4_Stream,KDD,M1_LogisticRegression,124,0.3284608770421324
S4_Stream,KDD,M2_XGBoost,124,0.8806584362139918
S4_Stream,KDD,M3_IsolationForest,124,0.1812366737739872
S4_Stream,KDD,M1_LogisticRegression,125,0.7963855421686747
S4_Stream,KDD,M2_XGBoost,125,0.8118421052631579
S4_Stream,KDD,M3_IsolationForest,125,0.801452784503632
S4_Stream,KDD,M1_LogisticRegression,126,0.9984977466199298
S4_Stream,KDD,M2_XGBoost,126,1.0
S4_Stream,KDD,M3_IsolationForest,126,0.9904088844018173
S4_Stream,KDD,M1_LogisticRegression,127,0.9979959919839679
S4_Stream,KDD,M2_XGBoost,127,1.0
S4_Stream,KDD,M3_IsolationForest,127,0.998998998998999
S4_Stream,KDD,M1_LogisticRegression,128,0.9969909729187563
S4_Stream,KDD,M2_XGBoost,128,1.0
S4_Stream,KDD,M3_IsolationForest,128,0.9959839357429718
S4_Stream,KDD,M1_LogisticRegression,129,0.9954796584630838
S4_Stream,KDD,M2_XGBoost,129,1.0
S4_Stream,KDD,M3_IsolationForest,129,0.9969909729187563
S4_Stream,KDD,M1_LogisticRegression,130,0.9714878175220322
S4_Stream,KDD,M2_XGBoost,130,0.9958246346555324
S4_Stream,KDD,M3_IsolationForest,130,0.9349112426035503
S4_Stream,KDD,M1_LogisticRegression,131,0.7282252783235101
S4_Stream,KDD,M2_XGBoost,131,0.7215311004784689
S4_Stream,KDD,M3_IsolationForest,131,0.23076923076923078
S4_Stream,KDD,M1_LogisticRegression,132,0.7637051039697542
