Scenario,Train_Set,Test_Set,Model,Fold,Accuracy,Precision,Recall,F1-Score,Threshold
S1_Baseline,CORES,CORES,M3_IsolationForest,5,0.5610585430411056,0.5961190528262122,0.5557862346376999,0.5752465369709527,
S1_Baseline,CORES,CORES,M1_LogisticRegression,6,0.9567137546468402,0.9251865191664522,0.9999165855693035,0.9611010890626044,0.39999999999999997
S1_Baseline,CORES,CORES,M2_XGBoost,6,0.9567286245353159,0.9251665680549481,0.9999721951897679,0.961116010582859,0.05
S1_Baseline,CORES,CORES,M3_IsolationForest,6,0.5699975216852541,0.6052259605813259,0.5635200889753927,0.5836289025941302,
S1_Baseline,CORES,CORES,M1_LogisticRegression,7,0.9573878562577447,0.9263034070614096,0.9998702442189166,0.9616819472363489,0.39999999999999997
S1_Baseline,CORES,CORES,M2_XGBoost,7,0.9574126394052045,0.9262992504571953,0.9999258538393809,0.9617054277386057,0.05
S1_Baseline,CORES,CORES,M3_IsolationForest,7,0.5492143742255267,0.5836599306988361,0.5479679317855323,0.5652510612260507,
S1_Baseline,CORES,CORES,M1_LogisticRegression,8,0.9566294919454771,0.9250808187345115,0.999879512488994,0.9610269292783523,0.39999999999999997
S1_Baseline,CORES,CORES,M2_XGBoost,8,0.9566493184634448,0.9250760986066452,0.9999258538393809,0.9610457865668983,0.15
S1_Baseline,CORES,CORES,M3_IsolationForest,8,0.5865774473358116,0.6210202730085302,0.5823068724222624,0.6010408296024184,
S1_Baseline,CORES,CORES,M1_LogisticRegression,9,0.956748236670318,0.9252341257589791,0.9999258531521679,0.9611310568468316,0.39999999999999997
S1_Baseline,CORES,CORES,M2_XGBoost,9,0.956748236670318,0.9252049531780606,0.999962926576084,0.9611324418946487,0.05
S1_Baseline,CORES,CORES,M3_IsolationForest,9,0.6018666759190876,0.6373618708835281,0.5928503901977867,0.6143008744171753,
S1_Baseline,CORES,CORES,M1_LogisticRegression,10,0.9568969362921254,0.9255233356211393,0.9998609746603148,0.9612570949949656,0.39999999999999997
S1_Baseline,CORES,CORES,M2_XGBoost,10,0.9569018929461857,0.9255020717698834,0.9998980480842308,0.9612627583410926,0.05
S1_Baseline,CORES,CORES,M3_IsolationForest,10,0.5824514619651151,0.6169947571470966,0.5780858991232135,0.5969069402442292,
S1_Baseline,NETFLOW,NETFLOW,M1_LogisticRegression,1,0.5505766990478208,0.5505766990478208,1.0,0.7101573232538826,0.05
S1_Baseline,NETFLOW,NETFLOW,M2_XGBoost,1,0.6975603415906881,0.688465011864413,0.8231801947129361,0.7498198122862137,0.39999999999999997
S1_Baseline,NETFLOW,NETFLOW,M3_IsolationForest,1,0.47323018860658345,0.5240400740816357,0.47128486930976143,0.49626437972131304,
S1_Baseline,NETFLOW,NETFLOW,M1_LogisticRegression,2,0.5505766990478208,0.5505766990478208,1.0,0.7101573232538826,0.05
S1_Baseline,NETFLOW,NETFLOW,M2_XGBoost,2,0.6983618473624924,0.6888038612914297,0.824762729128688,0.7506769190979717,0.39999999999999997
S1_Baseline,NETFLOW,NETFLOW,M3_IsolationForest,2,0.4768381680418227,0.5275925890036629,0.47604121584108205,0.5004929414008729,
S1_Baseline,NETFLOW,NETFLOW,M1_LogisticRegression,3,0.5505791059720604,0.5505791059720604,1.0,0.71015932544364,0.05
S1_Baseline,NETFLOW,NETFLOW,M2_XGBoost,3,0.6990333792253555,0.689822305850655,0.8237711367968245,0.7508696708997956,0.39999999999999997
S1_Baseline,NETFLOW,NETFLOW,M3_IsolationForest,3,0.47385358198465344,0.5243764798547641,0.4773025337926452,0.49973338581704085,
S1_Baseline,NETFLOW,NETFLOW,M1_LogisticRegression,4,0.5505791059720604,0.5505791059720604,1.0,0.71015932544364,0.05
S1_Baseline,NETFLOW,NETFLOW,M2_XGBoost,4,0.6967131042583303,0.687177992348333,0.8244705964642314,0.7495896247600348,0.39999999999999997
S1_Baseline,NETFLOW,NETFLOW,M3_IsolationForest,4,0.472789721470727,0.523368264986353,0.47530033049469284,0.4981774944041861,
S1_Baseline,NETFLOW,NETFLOW,M1_LogisticRegression,5,0.5505780242474132,0.5505780242474132,1.0,0.7101584256163325,0.05
S1_Baseline,NETFLOW,NETFLOW,M2_XGBoost,5,0.6980891382468403,0.6895560945716351,0.8214883692463726,0.749762598252404,0.39999999999999997
S1_Baseline,NETFLOW,NETFLOW,M3_IsolationForest,5,0.4746201262675495,0.5251688904916456,0.47747948606976265,0.5001900522529206,
S1_Baseline,NETFLOW,NETFLOW,M1_LogisticRegression,6,0.5505766990478208,0.5505766990478208,1.0,0.7101573232538826,0.05
S1_Baseline,NETFLOW,NETFLOW,M2_XGBoost,6,0.698843232210423,0.6898162395041104,0.8231583365027738,0.7506114077626362,0.39999999999999997
S1_Baseline,NETFLOW,NETFLOW,M3_IsolationForest,6,0.4783232402976884,0.5287754094510456,0.4822795490214079,0.5044583657231698,
S1_Baseline,NETFLOW,NETFLOW,M1_LogisticRegression,7,0.5505766990478208,0.5505766990478208,1.0,0.7101573232538826,0.05
S1_Baseline,NETFLOW,NETFLOW,M2_XGBoost,7,0.6990526346192727,0.6895319130272695,0.8247452425605581,0.7511018214392355,0.39999999999999997
S1_Baseline,NETFLOW,NETFLOW,M3_IsolationForest,7,0.48260275159579075,0.5332570965360508,0.4831407625018033,0.5069633666363912,
S1_Baseline,NETFLOW,NETFLOW,M1_LogisticRegression,8,0.5505791059720604,0.5505791059720604,1.0,0.71015932544364,0.05
S1_Baseline,NETFLOW,NETFLOW,M2_XGBoost,8,0.6970933982881955,0.6882408897995024,0.8223459877244829,0.7493407267541449,0.39999999999999997
S1_Baseline,NETFLOW,NETFLOW,M3_IsolationForest,8,0.4736634349697209,0.5243289725405322,0.4744697221396471,0.4981548799294999,
S1_Baseline,NETFLOW,NETFLOW,M1_LogisticRegression,9,0.5505791059720604,0.5505791059720604,1.0,0.71015932544364,0.05
S1_Baseline,NETFLOW,NETFLOW,M2_XGBoost,9,0.6988384183619436,0.6891305379429168,0.8253099480651197,0.7510975752885922,0.39999999999999997
S1_Baseline,NETFLOW,NETFLOW,M3_IsolationForest,9,0.4791560360846082,0.5303168620060075,0.4723582282686625,0.49966242462358035,
S1_Baseline,NETFLOW,NETFLOW,M1_LogisticRegression,10,0.5505780242474132,0.5505780242474132,1.0,0.7101584256163325,0.05
S1_Baseline,NETFLOW,NETFLOW,M2_XGBoost,10,0.6967123742679924,0.6873529765747235,0.8239058872903251,0.7494601720291567,0.39999999999999997
S1_Baseline,NETFLOW,NETFLOW,M3_IsolationForest,10,0.4766732375856566,0.5272126829080701,0.47945983991046875,0.5022036517657833,
